operator_id,palette_type,role,rank,hex,lab_l,lab_a,lab_b,weight,notes
op-001,core,theme,1,#A89A88,64.2973,2.3573,11.1958,0.052455,
op-001,core,accent_1,2,#DACEBB,83.1380,1.1688,10.6629,0.068285,
op-001,core,accent_2,3,#C0B3A1,73.5557,1.6902,10.6017,0.047089,
op-001,core,dark,4,#181415,6.8410,2.0463,0.4324,0.068688,
op-001,core,light,5,#ECE6DF,91.6627,0.8525,4.2971,0.021063,
op-001,core,neutral,6,#181415,6.8410,2.0463,0.4324,0.068688,
op-001,core,support_7,7,#463D35,26.2704,2.5257,6.3363,0.240676,
op-001,core,support_8,8,#1F1E2F,12.0804,5.1201,-10.8659,0.063322,
op-001,categorical_anchor,theme,1,#A89A88,64.2973,2.3573,11.1958,0.052455,
op-002,core,theme,1,#E2CCB6,83.3292,4.1426,14.0313,0.125447,
op-002,core,accent_1,2,#BFB1A4,73.1154,2.5092,8.7166,0.066750,
op-002,core,accent_2,3,#181410,6.5035,1.0884,2.7548,0.093593,
op-002,core,dark,4,#181410,6.5035,1.0884,2.7548,0.093593,
op-002,core,light,5,#E8E1D9,89.8312,1.1288,4.6002,0.039907,
op-002,core,neutral,6,#CBC9C6,81.0856,0.2588,1.5369,0.040981,
op-002,core,support_7,7,#8A827A,54.8549,1.3451,5.1777,0.078919,
op-002,core,support_8,8,#514B46,32.3728,1.1990,4.2320,0.108447,
op-002,categorical_anchor,theme,1,#E2CCB6,83.3292,4.1426,14.0313,0.125447,
op-003,core,theme,1,#92362B,35.8407,38.1363,27.0799,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,accent_1,2,#46241E,18.6182,15.3885,11.0853,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,accent_2,3,#AF7469,54.6856,21.8623,15.6008,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,dark,4,#1B1717,8.1974,1.9891,0.7233,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,light,5,#F3E6DE,92.0975,3.0639,5.4689,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,neutral,6,#1B1717,8.1974,1.9891,0.7233,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,support_7,7,#888281,54.8498,2.0626,1.3446,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,core,support_8,8,#4A423F,28.6720,2.8085,3.0648,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-003,categorical_anchor,theme,1,#92362B,35.8407,38.1363,27.0799,1.000000,curated_colorlist categorical anchor
op-004,core,theme,1,#3A3F47,26.4751,-0.0883,-5.5771,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,accent_1,2,#3A3F47,26.4751,-0.0883,-5.5771,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,accent_2,3,#15171F,7.8689,1.4238,-5.9095,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,dark,4,#15171F,7.8689,1.4238,-5.9095,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,light,5,#E2D8D4,87.0138,2.7321,3.1896,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,neutral,6,#E2D8D4,87.0138,2.7321,3.1896,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,support_7,7,#211756,13.2779,24.7033,-36.5613,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,core,support_8,8,#80838B,54.7471,0.5438,-4.6850,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-004,categorical_anchor,theme,1,#3A3F47,26.4751,-0.0883,-5.5771,1.000000,curated_colorlist categorical anchor
op-005,core,theme,1,#323B3B,24.0906,-3.6837,-1.4630,0.145786,
op-005,core,accent_1,2,#323B3B,24.0906,-3.6837,-1.4630,0.145786,
op-005,core,accent_2,3,#0F1819,7.4082,-3.4786,-1.7240,0.051000,
op-005,core,dark,4,#0F1819,7.4082,-3.4786,-1.7240,0.051000,
op-005,core,light,5,#FAF2EA,95.8200,1.2820,4.9345,0.101509,
op-005,core,neutral,6,#989A99,63.3110,-1.0543,0.3700,0.060184,
op-005,core,support_7,7,#222B2B,16.8341,-3.9665,-1.2944,0.127583,
op-005,core,support_8,8,#434B4B,31.2105,-3.0795,-1.3046,0.118399,
op-005,categorical_anchor,theme,1,#323B3B,24.0906,-3.6837,-1.4630,0.145786,
op-006,core,theme,1,#89736E,50.3217,7.8590,5.9970,0.211217,
op-006,core,accent_1,2,#C33057,44.8119,59.5009,13.3604,0.031814,
op-006,core,accent_2,3,#5D1622,20.1815,32.6744,10.8869,0.026894,
op-006,core,dark,4,#250D0E,6.4628,12.2676,4.0432,0.054280,
op-006,core,light,5,#FCECD8,94.0772,2.4883,11.6204,0.068383,
op-006,core,neutral,6,#89736E,50.3217,7.8590,5.9970,0.211217,
op-006,core,support_7,7,#53393B,26.9547,11.8714,3.4975,0.159561,
op-006,core,support_8,8,#943447,36.4091,42.0235,10.4164,0.039521,
op-006,categorical_anchor,theme,1,#89736E,50.3217,7.8590,5.9970,0.211217,
op-007,core,theme,1,#603F6C,32.0893,23.1840,-20.5401,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,accent_1,2,#603F6C,32.0893,23.1840,-20.5401,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,accent_2,3,#1B1C24,10.4899,1.7785,-5.6152,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,dark,4,#1B1C24,10.4899,1.7785,-5.6152,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,light,5,#F1DEE0,90.0106,6.8347,1.3761,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,neutral,6,#E1E1E8,89.7124,1.2718,-3.4070,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,support_7,7,#87848E,55.6915,3.1239,-4.9611,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,core,support_8,8,#4D4B57,32.4760,3.5544,-6.7739,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-007,categorical_anchor,theme,1,#603F6C,32.0893,23.1840,-20.5401,1.000000,curated_colorlist categorical anchor
op-008,core,theme,1,#414A5C,31.4326,0.8759,-11.4473,0.116663,
op-008,core,accent_1,2,#687080,47.1875,0.5367,-9.4367,0.087213,
op-008,core,accent_2,3,#565D6B,39.3425,0.5762,-8.9301,0.101653,
op-008,core,dark,4,#111318,6.0155,0.3303,-3.4269,0.089113,
op-008,core,light,5,#F9EAE2,93.7420,3.8530,5.7267,0.104123,
op-008,core,neutral,6,#292828,16.1605,0.6307,0.1082,0.074102,
op-008,core,support_7,7,#19263B,15.0827,1.5620,-14.8958,0.076572,
op-008,core,support_8,8,#333944,23.6531,0.5655,-7.9280,0.108303,
op-008,categorical_anchor,theme,1,#414A5C,31.4326,0.8759,-11.4473,0.116663,
op-009,core,theme,1,#82636B,45.2276,13.6503,0.4440,0.181310,
op-009,core,accent_1,2,#6BA2BE,64.0239,-10.7568,-19.9006,0.012249,
op-009,core,accent_2,3,#DF9A84,69.7684,23.1991,21.8706,0.013912,
op-009,core,dark,4,#161218,6.1285,3.2035,-2.9610,0.089521,
op-009,core,light,5,#FBECDC,94.1819,2.4611,9.3562,0.040073,
op-009,core,neutral,6,#161218,6.1285,3.2035,-2.9610,0.089521,
op-009,core,support_7,7,#403035,21.8550,8.1594,-0.2177,0.239377,
op-009,core,support_8,8,#6D5259,37.9386,12.1223,0.5178,0.108423,
op-009,categorical_anchor,theme,1,#82636B,45.2276,13.6503,0.4440,0.181310,
op-010,core,theme,1,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,accent_1,2,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,accent_2,3,#141015,5.2323,2.6214,-1.9556,0.105968,
op-010,core,dark,4,#141015,5.2323,2.6214,-1.9556,0.105968,
op-010,core,light,5,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,neutral,6,#777275,48.7199,2.5217,-0.9252,0.058259,
op-010,core,support_7,7,#262124,13.3467,3.6455,-1.5608,0.131003,
op-010,core,support_8,8,#383134,21.1659,3.4289,-0.7054,0.125964,
op-010,categorical_anchor,theme,1,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-011,core,theme,1,#3E52B8,38.7733,25.9782,-56.6183,0.043218,
op-011,core,accent_1,2,#353C52,25.5635,3.4098,-14.5393,0.042283,
op-011,core,accent_2,3,#2C3D8C,28.7970,20.4424,-45.8025,0.046024,
op-011,core,dark,4,#25272B,15.5649,0.3255,-3.1017,0.052011,
op-011,core,light,5,#F3F4FB,96.2151,1.3698,-3.7008,0.136950,
op-011,core,neutral,6,#858383,55.0025,0.4167,0.2422,0.071843,
op-011,core,support_7,7,#C6C3CA,79.2409,2.2623,-3.0030,0.125912,
op-011,core,support_8,8,#EBE6EE,92.0108,2.9766,-3.0586,0.135641,
op-011,categorical_anchor,theme,1,#3E52B8,38.7733,25.9782,-56.6183,0.043218,
